2019_Sco_Scotland_St Andrew's Day,2019-11-30,2019-12-01,1
2019_Sco_Scotland_St Andrew's Day Holiday,2019-12-02,2019-12-03,1
2019_Sco_Scottish Borders_May Holidays,2019-05-03,2019-05-07,4
2019_Sco_Scottish Borders_Spring Half Term Holidays,2019-02-15,2019-02-20,5
2019_Sco_Scottish Borders_Spring Holidays,2019-04-01,2019-04-13,12
2019_Sco_Scottish Borders_Summer Holidays,2019-07-03,2019-08-20,48
2019_Sco_Shetland Islands_Spring Half Term Holidays,2019-02-22,2019-02-26,4
2019_Sco_Shetland Islands_Spring Holidays,2019-04-01,2019-04-13,12
2019_Sco_Shetland Islands_Summer Holidays,2019-07-08,2019-08-21,44
2019_Sco_South Ayrshire_Easter Holidays,2019-04-19,2019-04-23,4
2019_Sco_South Ayrshire_Spring Half Term Holidays,2019-02-11,2019-02-13,2
2019_Sco_South Ayrshire_Spring Holidays,2019-04-01,2019-04-13,12
2019_Sco_South Ayrshire_Summer Half Term Holidays,2019-05-27,2019-05-29,2
2019_Sco_South Ayrshire_Summer Holidays,2019-07-01,2019-08-20,50
2019_Sco_South Lanarkshire_Easter Holidays,2019-04-19,2019-04-23,4
2019_Sco_South Lanarkshire_May Holidays,2019-05-06,2019-05-08,2
2019_Sco_South Lanarkshire_Spring Half Term Holidays,2019-02-11,2019-02-14,3
2019_Sco_South Lanarkshire_Spring Holidays,2019-04-01,2019-04-13,12
2019_Sco_South Lanarkshire_Summer Half Term Holidays,2019-05-24,2019-05-28,4
2019_Sco_South Lanarkshire_Summer Holidays,2019-07-01,2019-08-15,45
2019_Sco_Stirling_Easter Holidays,2019-04-19,2019-04-23,4
2019_Sco_Stirling_Spring Half Term Holidays,2019-02-11,2019-02-16,5
2019_Sco_Stirling_Spring Holidays,2019-04-01,2019-04-13,12
2019_Sco_Stirling_Summer Holidays,2019-07-01,2019-08-20,50
2019_Sco_West Dunbartonshire_Easter Holidays,2019-04-19,2019-04-23,4
2019_Sco_West Dunbartonshire_Spring Half Term Holidays,2019-02-11,2019-02-14,3
2019_Sco_West Dunbartonshire_Spring Holidays,2019-04-01,2019-04-13,12
2019_Sco_West Dunbartonshire_Summer Half Term Holidays,2019-05-23,2019-05-28,5
2019_Sco_West Dunbartonshire_Summer Holidays,2019-07-01,2019-08-17,47
2019_Sco_West Lothian_May Holidays,2019-05-06,2019-05-08,2
2019_Sco_West Lothian_Spring Half Term Holidays,2019-02-18,2019-02-20,2
2019_Sco_West Lothian_Spring Holidays,2019-04-08,2019-04-23,15
2019_Sco_West Lothian_Summer Holidays,2019-07-01,2019-08-20,50
2020_Sco_Scotland_August Bank Holiday,2020-08-03,2020-08-04,1
2020_Sco_Scotland_Boxing Day,2020-12-26,2020-12-27,1
2020_Sco_Scotland_Boxing Day Holiday,2020-12-28,2020-12-29,1
2020_Sco_Scotland_Christmas Day,2020-12-25,2020-12-26,1
2020_Sco_Scotland_Good Friday,2020-04-10,2020-04-11,1
2020_Sco_Scotland_Late May Bank Holiday,2020-05-25,2020-05-26,1
2020_Sco_Scotland_May Day,2020-05-04,2020-05-05,1
2020_Sco_Scotland_New Year Holiday,2020-01-02,2020-01-03,1
2020_Sco_Scotland_New Year's Day,2020-01-01,2020-01-02,1
2020_Sco_Scotland_St Andrew's Day,2020-11-30,2020-12-01,1
