2019_Wal_Torfaen_Summer Half Term Holidays,2019-05-27,2019-06-01
2019_Wal_Torfaen_Summer Holidays,2019-07-23,2019-08-31
2019_Wal_Torfaen_Winter Holidays,2019-12-23,2020-01-04
2019_Wal_Wales_August Bank Holiday,2019-08-26,2019-08-27
2019_Wal_Wales_Boxing Day,2019-12-26,2019-12-27
2019_Wal_Wales_Christmas Day,2019-12-25,2019-12-26
2019_Wal_Wales_Easter Monday,2019-04-22,2019-04-23
2019_Wal_Wales_Good Friday,2019-04-19,2019-04-20
2019_Wal_Wales_Late May Bank Holiday,2019-05-27,2019-05-28
2019_Wal_Wales_May Day,2019-05-06,2019-05-07
2019_Wal_Wales_New Year's Day,2019-01-01,2019-01-02
2019_Wal_Wrexham_Autumn Half Term Holidays,2019-10-28,2019-11-02
2019_Wal_Wrexham_Spring Half Term Holidays,2019-02-25,2019-03-02
2019_Wal_Wrexham_Spring Holidays,2019-04-15,2019-04-27
2019_Wal_Wrexham_Summer Half Term Holidays,2019-05-27,2019-06-01
2019_Wal_Wrexham_Summer Holidays,2019-07-23,2019-08-31
2019_Wal_Wrexham_Winter Holidays,2019-12-23,2020-01-04
2020_Wal_Blaenau Gwent_Spring Half Term Holidays,2020-02-17,2020-02-22
2020_Wal_Blaenau Gwent_Spring Holidays,2020-04-06,2020-04-18
2020_Wal_Blaenau Gwent_Summer Half Term Holidays,2020-05-25,2020-05-30
2020_Wal_Blaenau Gwent_Summer Holidays,2020-07-21,2020-12-31
2020_Wal_Bridgend_Spring Half Term Holidays,2020-02-17,2020-02-22
2020_Wal_Bridgend_Spring Holidays,2020-04-06,2020-04-18
2020_Wal_Bridgend_Summer Half Term Holidays,2020-05-25,2020-05-30
2020_Wal_Bridgend_Summer Holidays,2020-07-21,2020-12-31
2020_Wal_Caerphilly_Spring Half Term Holidays,2020-02-17,2020-02-22
2020_Wal_Caerphilly_Spring Holidays,2020-04-06,2020-04-18
2020_Wal_Caerphilly_Summer Half Term Holidays,2020-05-25,2020-05-30
2020_Wal_Caerphilly_Summer Holidays,2020-07-21,2020-12-31
2020_Wal_Cardiff_Spring Half Term Holidays,2020-02-17,2020-02-22
2020_Wal_Cardiff_Spring Holidays,2020-04-06,2020-04-18
2020_Wal_Cardiff_Summer Half Term Holidays,2020-05-25,2020-05-30
2020_Wal_Cardiff_Summer Holidays,2020-07-21,2020-12-31
2020_Wal_Carmarthenshire_Spring Half Term Holidays,2020-02-17,2020-02-22
2020_Wal_Carmarthenshire_Spring Holidays,2020-04-06,2020-04-21
2020_Wal_Carmarthenshire_Summer Half Term Holidays,2020-05-25,2020-05-30
2020_Wal_Carmarthenshire_Summer Holidays,2020-07-21,2020-12-31
2020_Wal_Ceredigion_Spring Half Term Holidays,2020-02-17,2020-02-22
2020_Wal_Ceredigion_Spring Holidays,2020-04-06,2020-04-21
2020_Wal_Ceredigion_Summer Half Term Holidays,2020-05-25,2020-05-30
2020_Wal_Ceredigion_Summer Holidays,2020-07-20,2020-12-31
2020_Wal_Conwy_Spring Half Term Holidays,2020-02-17,2020-02-22
2020_Wal_Conwy_Spring Holidays,2020-04-06,2020-04-18
2020_Wal_Conwy_Summer Half Term Holidays,2020-05-25,2020-05-30
2020_Wal_Conwy_Summer Holidays,2020-07-20,2020-09-02
2020_Wal_Denbighshire_Spring Half Term Holidays,2020-02-17,2020-02-22
2020_Wal_Denbighshire_Spring Holidays,2020-04-06,2020-04-18
